device_id,ts,bat,acc1,acc2,acc3,acc4,acc5,wei,tmp1,tmp2,tmp3,lat,lon,ts_gps,checksum
f4f4f4f4,1543830282,3718,600,0,0,0,0,2.802596928649634e-45,351,352,361,0,0,0,df
f2f2f2f2,1543833394,3673,600,0,0,0,0,,352,357,358,0,0,0,f9
f6f6f6f6,1543834210,3718,600,0,0,0,0,5.605193857299268e-45,343,348,355,0,0,0,7f
f3f3f3f3,1543833706,3757,600,0,0,0,0,0,348,351,354,0,0,0,53
f7f7f7f7,1543832516,3725,600,0,0,0,0,0,345,348,360,0,0,0,da
f5f5f5f5,1543833535,3957,600,0,0,0,0,,344,347,357,3844.79345703125,7236.94580078125,1543844316,32
f4f4f4f4,1543830321,3712,600,0,0,0,0,4.203895392974451e-45,349,350,360,0,0,0,de
f2f2f2f2,1543833432,3680,600,0,0,0,0,,351,356,358,0,0,0,98
f6f6f6f6,1543834249,3712,600,0,0,0,0,1.1210387714598537e-44,342,347,354,0,0,0,99
f3f3f3f3,1543833745,3770,600,0,0,0,0,4.203895392974451e-45,348,350,353,0,0,0,be
f7f7f7f7,1543832555,3725,600,0,0,0,0,1.401298464324817e-45,345,348,360,0,0,0,f4
f5f5f5f5,1543833573,3950,600,0,0,0,0,,345,347,357,3844.79345703125,7236.94580078125,1543844316,72
f4f4f4f4,1543830360,3725,600,0,0,0,0,4.203895392974451e-45,349,350,360,0,0,0,ba
f2f2f2f2,1543833471,3673,600,0,0,0,0,,351,355,357,0,0,0,82
f3f3f3f3,1543833784,3757,600,0,0,0,0,2.802596928649634e-45,347,350,353,0,0,0,86
f7f7f7f7,1543832595,3725,600,0,0,0,0,1.401298464324817e-45,344,347,359,0,0,0,2
f5f5f5f5,1543833612,3950,600,0,0,0,0,,344,346,356,3844.79345703125,7236.94580078125,1543844316,95
f4f4f4f4,1543830399,3731,600,0,0,0,0,4.203895392974451e-45,349,350,359,3844.800537109375,7236.9521484375,1543844740,ca
f2f2f2f2,1543833509,3680,600,0,0,0,0,,350,354,357,0,0,0,6e
f6f6f6f6,1543834326,3718,600,0,0,0,0,1.1210387714598537e-44,341,346,353,0,0,0,c1
f3f3f3f3,1543833823,3770,600,0,0,0,0,2.802596928649634e-45,347,349,352,3844.789794921875,7236.94287109375,1543844769,ee
f7f7f7f7,1543832634,3725,600,0,0,0,0,4.203895392974451e-45,343,346,358,0,0,0,26
f5f5f5f5,1543833650,3944,600,0,0,0,0,,343,345,356,3844.79345703125,7236.94580078125,1543844316,a1
